sample_name,dataset,file,reference_genome
HG00096,1000G,1000g.vcf.gz,GRCh37
HG00097,1000G,,GRCh37
HG00099,1000G,,GRCh37
HG00100,1000G,,GRCh37
HG00101,1000G,,GRCh37
HG00102,1000G,,GRCh37
HG00103,1000G,,GRCh37
HG00105,1000G,,GRCh37
HG00106,1000G,,GRCh37
HG00107,1000G,,GRCh37
HG00108,1000G,,GRCh37
HG00109,1000G,,GRCh37
HG00110,1000G,,GRCh37
HG00111,1000G,,GRCh37
HG00112,1000G,,GRCh37
HG00113,1000G,,GRCh37
HG00114,1000G,,GRCh37
HG00115,1000G,,GRCh37
HG00116,1000G,,GRCh37
HG00117,1000G,,GRCh37
HG00118,1000G,,GRCh37
HG00119,1000G,,GRCh37
HG00120,1000G,,GRCh37
HG00121,1000G,,GRCh37
HG00122,1000G,,GRCh37
HG00123,1000G,,GRCh37
HG00125,1000G,,GRCh37
HG00126,1000G,,GRCh37
HG00127,1000G,,GRCh37
HG00128,1000G,,GRCh37
HG00129,1000G,,GRCh37
HG00130,1000G,,GRCh37
HG00131,1000G,,GRCh37
HG00132,1000G,,GRCh37
HG00133,1000G,,GRCh37
HG00136,1000G,,GRCh37
HG00137,1000G,,GRCh37
HG00138,1000G,,GRCh37
HG00139,1000G,,GRCh37
HG00140,1000G,,GRCh37
HG00141,1000G,,GRCh37
HG00142,1000G,,GRCh37
HG00143,1000G,,GRCh37
HG00145,1000G,,GRCh37
HG00146,1000G,,GRCh37
HG00148,1000G,,GRCh37
HG00149,1000G,,GRCh37
HG00150,1000G,,GRCh37
HG00151,1000G,,GRCh37
HG00154,1000G,,GRCh37
HG00155,1000G,,GRCh37
HG00157,1000G,,GRCh37
HG00158,1000G,,GRCh37
HG00159,1000G,,GRCh37
HG00160,1000G,,GRCh37
HG00171,1000G,,GRCh37
HG00173,1000G,,GRCh37
HG00174,1000G,,GRCh37
HG00176,1000G,,GRCh37
HG00177,1000G,,GRCh37
HG00178,1000G,,GRCh37
HG00179,1000G,,GRCh37
HG00180,1000G,,GRCh37
HG00181,1000G,,GRCh37
HG00182,1000G,,GRCh37
HG00183,1000G,,GRCh37
HG00185,1000G,,GRCh37
HG00186,1000G,,GRCh37
HG00187,1000G,,GRCh37
HG00188,1000G,,GRCh37
HG00189,1000G,,GRCh37
HG00190,1000G,,GRCh37
HG00231,1000G,,GRCh37
HG00232,1000G,,GRCh37
HG00233,1000G,,GRCh37
HG00234,1000G,,GRCh37
HG00235,1000G,,GRCh37
HG00236,1000G,,GRCh37
HG00237,1000G,,GRCh37
HG00238,1000G,,GRCh37
HG00239,1000G,,GRCh37
HG00240,1000G,,GRCh37
HG00242,1000G,,GRCh37
HG00243,1000G,,GRCh37
HG00244,1000G,,GRCh37
HG00245,1000G,,GRCh37
HG00246,1000G,,GRCh37
HG00250,1000G,,GRCh37
