sample_name,sex,dataset,super-population,sub-population
LP6005857-DNA-A01,Male,SAHGP,AFR,COL
LP6005857-DNA-B01,Male,SAHGP,AFR,COL
LP6005857-DNA-C01,Male,SAHGP,AFR,COL
LP6005857-DNA-D01,Male,SAHGP,AFR,COL
LP6005857-DNA-E01,Male,SAHGP,AFR,COL
LP6005857-DNA-F01,Male,SAHGP,AFR,COL
LP6005857-DNA-G01,Male,SAHGP,AFR,COL
LP6005857-DNA-H01,Male,SAHGP,AFR,COL
LP6005857-DNA-A02,Male,SAHGP,AFR,SOT
LP6005857-DNA-B02,Male,SAHGP,AFR,SOT
LP6005857-DNA-C02,Male,SAHGP,AFR,SOT
LP6005857-DNA-D02,Male,SAHGP,AFR,SOT
LP6005857-DNA-E02,Male,SAHGP,AFR,SOT
LP6005857-DNA-F02,Male,SAHGP,AFR,SOT
LP6005857-DNA-G02,Male,SAHGP,AFR,SOT
LP6005857-DNA-H02,Male,SAHGP,AFR,SOT
LP6005857-DNA-A03,Male,SAHGP,AFR,XHO
LP6005857-DNA-B03,Male,SAHGP,AFR,XHO
LP6005857-DNA-C03,Male,SAHGP,AFR,XHO
LP6005857-DNA-D03,Male,SAHGP,AFR,XHO
LP6005857-DNA-E03,Male,SAHGP,AFR,XHO
LP6005857-DNA-F03,Male,SAHGP,AFR,XHO
LP6005857-DNA-G03,Male,SAHGP,AFR,XHO
LP6005857-DNA-H03,Male,SAHGP,AFR,XHO
HG00096,Male,ThousandGenomes,EUR,GBR
HG00097,Female,ThousandGenomes,EUR,GBR
HG00099,Female,ThousandGenomes,EUR,GBR
HG00100,Female,ThousandGenomes,EUR,GBR
HG00101,Male,ThousandGenomes,EUR,GBR
HG00102,Female,ThousandGenomes,EUR,GBR
HG00103,Male,ThousandGenomes,EUR,GBR
HG00105,Male,ThousandGenomes,EUR,GBR
HG00106,Female,ThousandGenomes,EUR,GBR
HG00107,Male,ThousandGenomes,EUR,GBR
HG00108,Male,ThousandGenomes,EUR,GBR
HG00109,Male,ThousandGenomes,EUR,GBR
HG00110,Female,ThousandGenomes,EUR,GBR
HG00111,Female,ThousandGenomes,EUR,GBR
HG00112,Male,ThousandGenomes,EUR,GBR
