gene_name,transcript_id
CYP2B6,ENST00000324071.10
CYP2B6,ENST00000593831.1
CYP2C9,ENST00000260682.8
CYP2C9,ENST00000461906.1
CYP2C19,ENST00000371321.9
CYP2C19,ENST00000480405.2
CYP2D6,ENST00000645361.2
CYP2D6,ENST00000359033.4
CYP4F2,ENST00000221700.11
CYP4F2,ENST00000011989.11
CYP4F2,ENST00000586927.2
CYP4F2,ENST00000589654.2
VKORC1,ENST00000394975.3
VKORC1,ENST00000319788.11
VKORC1,ENST00000354895.4
VKORC1,ENST00000300851.10
VKORC1,ENST00000498155.1
VKORC1,ENST00000420057.2
VKORC1,ENST00000394971.7
VKORC1,ENST00000472468.1
HLA-A,ENST00000376809.10
HLA-A,ENST00000706904.1
HLA-A,ENST00000706901.1
HLA-A,ENST00000706905.1
HLA-A,ENST00000396634.5
HLA-A,ENST00000376806.9
HLA-A,ENST00000706894.1
HLA-A,ENST00000706898.1
HLA-A,ENST00000706900.1
HLA-A,ENST00000638375.2
HLA-A,ENST00000376802.2
HLA-B,ENST00000412585.7
HLA-B,ENST00000696560.1
HLA-B,ENST00000696562.1
HLA-B,ENST00000696559.1
HLA-B,ENST00000696561.1
HLA-B,ENST00000640094.2
